Name,,Total Pts,Avg Pts Per Game,Games Played,Wins(+2),Losses,First Bloods(+2),Dragon Kills(+1),Baron Kills(+2),Towers Destroyed(+1),<30 Min Win(+2)
SPY vs. MM,Win (2-0),27,13.5,2,2,0,1,3,1,14,1
SPY vs. UOL,Win (2-1),28,14,3,2,1,1,2,2,17,1
SPY vs. ROC,Win (2-1),54,27,3,2,1,2,3,4,23,1
SPY vs. FNC,Loss (0-2),20,10,2,0,2,0,2,0,8,0
SPY vs. G2,Loss (0-2),16,8,2,0,2,0,1,0,7,0
SPY vs. NIP,Win (2-0),30,15,2,2,0,0,4,2,18,0
SPY vs. MSF,Win (2-1),18,9,3,2,1,1,2,2,21,0
SPY vs. H2K,Loss (0-2),8,4,2,0,2,0,0,0,4,0
SPY vs. MM,Win (2-0),39,19.5,2,2,0,2,6,2,19,1
SPY vs. UOL,Loss (0-2),6,3,2,0,2,1,1,0,3,0
Team Dignitas,,457,12.69,51,29,22,21,99,44,337,9
DIG vs. NV,Win (2-1),19,9.5,3,2,1,2,7,3,19,0
DIG vs. FLY,Win (2-0),40,20,2,2,0,2,6,3,20,0
DIG vs. TSM,Win (2-1),28,14,3,2,1,1,8,4,25,0
DIG vs. TL,Loss (1-2),29,14.5,3,1,2,1,6,3,19,0
DIG vs. P1,Win (2-1),22,11,3,2,1,2,7,3,21,0
DIG vs. FOX,Win (2-1),15,7.5,3,2,1,1,4,1,21,1
DIG vs. IMT,Loss (1-2),18,9,3,1,2,0,2,2,10,0
DIG vs. C9,Loss (1-2),24,12,3,1,2,2,5,1,13,0
DIG vs. FLY,Loss (1-2),28,14,3,1,2,1,7,2,17,0
DIG vs. NV,Loss (1-2),29,14.5,3,1,2,1,7,2,16,1
DIG vs. CLG,Win (2-0),39,19.5,2,2,0,1,7,3,18,1
DIG vs. P1,Win (2-1),20,10,3,2,1,1,6,3,21,1
DIG vs. TSM,Win (2-0),38,19,2,2,0,1,5,4,19,0
DIG vs. C9,Loss (1-2),22,11,3,1,2,2,4,1,13,1
DIG vs. IMT,Win (2-1),22,11,3,2,1,1,5,4,22,1
DIG vs. FOX,Win (2-1),22,11,3,2,1,1,6,2,22,2
DIG vs. CLG,Loss (1-2),19,9.5,3,1,2,1,3,1,14,0
DIG vs. TL,Win (2-1),23,11.5,3,2,1,0,4,2,27,1
Team Envy,,363,10.08,47,21,26,24,81,34,272,1
NV vs. DIG,Loss (1-2),26,13,3,1,2,1,5,3,19,0
NV vs. P1,Win (2-1),22,11,3,2,1,1,8,1,21,0
NV vs. IMT,Win (2-0),34,17,2,2,0,1,3,4,17,0
NV vs. TL,Win (2-1),19,9.5,3,2,1,1,7,2,22,0
NV vs. FOX,Loss (0-2),12,6,2,0,2,0,2,1,8,0
NV vs. TSM,Loss (0-2),6,3,2,0,2,0,3,0,3,0
NV vs. CLG,Loss (1-2),24,12,3,1,2,2,2,2,15,0
NV vs. FLY,Win (2-1),33,16.5,3,2,1,2,5,4,28,1
NV vs. P1,Loss (1-2),19,9.5,3,1,2,2,6,1,13,0
NV vs. DIG,Win (2-1),17,8.5,3,2,1,2,2,2,18,0
NV vs. C9,Win (2-0),38,19,2,2,0,1,5,4,19,0
NV vs. FOX,Win (2-1),23,11.5,3,2,1,3,7,3,23,0
NV vs. TL,Loss (1-2),20,10,3,1,2,1,9,1,13,0
NV vs. FLY,Win (2-1),26,13,3,2,1,3,8,2,24,0
NV vs. CLG,Loss (0-2),7,3.5,2,0,2,1,0,0,5,0
NV vs. TSM,Loss (1-2),25,12.5,3,1,2,2,7,3,18,0
NV vs. IMT,Loss (0-2),2,1,2,0,2,1,0,0,0,0
NV vs. C9,Loss (0-2),10,5,2,0,2,0,2,1,6,0
Team Liquid,,324,9,44,13,31,28,57,21,229,3
TL vs. CLG,Loss (0-2),6,3,2,0,2,1,0,0,4,0
TL vs. FOX,Loss (0-2),5,2.5,2,0,2,0,1,0,4,0
TL vs. NV,Loss (1-2),29,14.5,3,1,2,2,6,3,18,0
TL vs. DIG,Win (2-1),24,12,3,2,1,2,7,2,24,0
TL vs. IMT,Loss (0-2),9,4.5,2,0,2,1,0,0,7,0
TL vs. TSM,Loss (0-2),10,5,2,0,2,1,2,0,6,0
TL vs. C9,Loss (0-2),9,4.5,2,0,2,1,2,0,5,0
TL vs. P1,Win (2-1),24,12,3,2,1,1,8,2,24,1
TL vs. FOX,Loss (1-2),23,11.5,3,1,2,2,6,1,12,1
TL vs. CLG,Loss (0-2),13,6.5,2,0,2,1,4,1,5,0
TL vs. FLY,Loss (0-2),23,11.5,2,0,2,2,3,2,12,0
TL vs. TSM,Loss (0-2),12,6,2,0,2,1,1,0,9,0
TL vs. NV,Win (2-1),18,9,3,2,1,2,1,1,19,0
TL vs. P1,Win (2-0),38,19,2,2,0,2,4,3,18,1
TL vs. IMT,Loss (0-2),15,7.5,2,0,2,2,1,1,8,0
TL vs. C9,Loss (1-2),18,9,3,1,2,2,2,1,17,0
TL vs. FLY,Loss (1-2),24,12,3,1,2,2,5,3,21,0
TL vs. DIG,Loss (1-2),24,12,3,1,2,3,4,1,16,0
Team Vitality,,322,14.64,25,10,15,13,23,11,121,3
VIT vs. UOL,Loss (0-2),18,9,2,0,2,2,1,0,4,0
VIT vs. SPY,Loss (0-2),30,15,2,0,2,2,2,1,7,0
VIT vs. MM,Win (2-0),30,15,2,2,0,0,2,2,18,1
VIT vs. H2K,Loss (0-2),7,3.5,2,0,2,1,1,0,4,0
VIT vs. MSF,Loss (1-2),24,12,3,1,2,0,1,0,11,0
VIT vs. ROC,Win (2-0),68,34,2,2,0,1,6,2,18,0
VIT vs. NIP,Win (2-1),25,12.5,3,2,1,2,5,3,22,1
VIT vs. FNC,Loss (0-2),6,3,2,0,2,1,1,0,3,0
VIT vs. G2,Loss (1-2),42,21,3,1,2,3,1,1,13,0
VIT vs. MM,Win (2-0),60,30,2,2,0,0,3,2,17,1
VIT vs. H2K,Loss (0-2),12,6,2,0,2,1,0,0,4,0
TSM,,570,15.83,41,30,11,17,101,38,342,7
TSM vs. C9,Win (2-0),40,20,2,2,0,2,5,3,21,0
TSM vs. IMT,Loss (0-2),11,5.5,2,0,2,0,1,1,8,0
TSM vs. DIG,Loss (1-2),29,14.5,3,1,2,2,7,1,21,0
TSM vs. CLG,Win (2-1),25,12.5,3,2,1,0,8,3,21,1
TSM vs. TL,Win (2-0),35,17.5,2,2,0,1,4,3,19,0
TSM vs. NV,Win (2-0),39,19.5,2,2,0,2,5,2,20,1
TSM vs. FLY,Win (2-0),40,20,2,2,0,1,5,2,21,2
TSM vs. FOX,Win (2-0),36,18,2,2,0,0,6,3,20,0
TSM vs. C9,Loss (1-2),26,13,3,1,2,1,7,1,15,0
TSM vs. IMT,Win (2-0),38,19,2,2,0,1,7,2,21,0
TSM vs. P1,Win (2-0),32,16,2,2,0,1,5,1,17,1
TSM vs. TL,Win (2-0),39,19.5,2,2,0,1,8,3,19,0
TSM vs. DIG,Loss (0-2),12,6,2,0,2,1,2,0,8,0
TSM vs. FOX,Win (2-1),22,11,3,2,1,0,4,2,23,1
TSM vs. FLY,Win (2-0),34,17,2,2,0,0,5,2,21,0
TSM vs. NV,Win (2-1),32,16,3,2,1,1,8,4,27,0
TSM vs. P1,Win (2-0),39,19.5,2,2,0,1,5,3,20,1
TSM vs. CLG,Win (2-0),41,20.5,2,2,0,2,9,2,20,0
Unicorns of Love,,440,20,30,19,11,9,40,25,209,7
UOL vs. VIT,Win (2-0),72,36,2,2,0,0,3,2,21,2
UOL vs. MM,Win (2-0),29,14.5,2,2,0,1,2,2,15,1
UOL vs. H2K,Win (2-1),21,10.5,3,2,1,0,2,2,23,1
UOL vs. SPY,Loss (1-2),46,23,3,1,2,2,3,1,14,0
UOL vs. G2,Win (2-1),36,18,3,2,1,2,2,3,18,2
UOL vs. NIP,Win (2-1),26,13,3,2,1,0,1,3,19,0
UOL vs. MSF,Win (2-1),46,23,3,2,1,1,6,2,26,0
UOL vs. ROC,Loss (1-2),23,11.5,3,1,2,1,5,1,17,1
UOL vs. FNC,Loss (1-2),23,11.5,3,1,2,1,4,2,17,0
UOL vs. MM,Win (2-1),46,23,3,2,1,0,6,4,21,0
UOL vs. SPY,Win (2-0),72,36,2,2,0,1,6,3,18,0
